VideoID;FrameNo;Phase
269;68;1
269;1043;2
269;1228;3
269;2118;4
269;3478;5
269;6864;6
269;7727;7
269;8473;2
269;8683;8
269;9482;9
269;14138;10
269;14623;10
270;11;1
270;1417;2
270;1891;2
270;2108;3
270;2985;4
270;3543;5
270;12678;6
270;14426;7
270;15415;6
270;15695;2
270;15923;8
270;17084;9
270;19725;10
270;20316;10
271;63;1
271;901;2
271;1318;1
271;1542;2
271;2280;3
271;3684;4
271;4520;5
271;10281;6
271;11947;7
271;12326;2
271;12749;8
271;13621;9
271;15493;10
271;16398;10
278;308;1
278;1503;2
278;1664;3
278;3103;4
278;4174;5
278;8329;6
278;9258;7
278;9672;2
278;9918;8
278;10743;9
278;13368;10
278;13972;10
279;12;1
279;153;2
279;515;3
279;1528;4
279;2463;5
279;6940;6
279;10136;7
279;11114;2
279;11345;8
279;12196;9
279;13906;10
280;0;1
280;366;2
280;764;3
280;2185;4
280;2935;5
280;7261;6
280;8642;7
280;9026;2
280;9258;8
280;9977;9
280;11885;10
288;301;1
288;885;2
288;1293;3
288;2995;4
288;3387;5
288;9083;6
288;11141;7
288;12363;2
288;12918;8
288;13989;9
288;15892;10
292;92;1
292;586;2
292;995;3
292;1976;4
292;2390;5
292;6668;6
292;8637;7
292;9394;2
292;9605;8
292;10607;9
292;13244;10
294;464;1
294;1012;2
294;1304;3
294;2391;4
294;3087;5
294;9603;6
294;12806;7
294;13515;2
294;13782;8
294;14641;9
294;16433;10
295;1;1
295;1566;2
295;1974;2
295;2209;3
295;3425;4
295;4095;5
295;8400;6
295;9744;7
295;10527;2
295;10745;8
295;11693;9
295;13873;10
350;217;1
350;494;2
350;629;3
350;1165;4
350;1515;5
350;3003;6
350;3940;7
350;4182;2
350;4365;8
350;4812;9
350;5712;10
350;6000;10
354;821;1
354;1154;2
354;1358;3
354;2044;4
354;2589;5
354;7140;6
354;7704;7
354;8197;2
354;8496;8
354;8944;9
354;10144;10
354;10846;9
354;11106;10
354;11329;10
356;416;1
356;758;2
356;967;3
356;1563;4
356;2196;5
356;4237;6
356;5071;7
356;5485;2
356;5791;8
356;6658;9
356;7739;10
356;8264;10
734;177;1
734;445;2
734;611;3
734;1521;4
734;2029;5
734;3370;6
734;4245;7
734;4670;2
734;4873;8
734;5255;9
734;6281;10
734;6634;10
738;436;1
738;847;2
738;1212;3
738;2496;4
738;3910;5
738;10065;2
738;10239;6
738;12145;7
738;12301;2
738;12586;8
738;13294;9
738;14309;10
738;14611;10
738;15083;10
739;428;1
739;1203;2
739;2005;3
739;3907;4
739;5965;5
739;12212;6
739;14673;7
739;15293;6
739;16028;2
739;16410;8
739;17546;9
739;20270;10
739;22554;10
739;23070;10
745;8;3
745;473;4
745;1303;5
745;5673;6
745;8214;7
745;8378;2
745;8746;8
745;9548;9
745;11130;10
745;11501;10
749;2446;1
749;3028;2
749;3416;3
749;4441;4
749;5601;5
749;8795;6
749;10342;7
749;11189;6
749;11726;2
749;11949;8
749;12573;9
749;14867;10
749;15364;2
749;15614;10
750;170;1
750;1299;2
750;1677;2
750;1901;3
750;2701;4
750;3453;5
750;6809;6
750;8006;7
750;8426;2
750;8611;8
750;9281;9
750;10152;10
750;10827;2
750;11103;10
751;141;1
751;476;2
751;874;3
751;1856;4
751;2359;5
751;3863;6
751;4707;7
751;5042;2
751;5240;8
751;5926;9
751;6955;10
751;7262;10
760;11;1
760;260;2
760;731;3
760;2571;4
760;3817;5
760;9983;6
760;11734;7
760;12054;2
760;12570;8
760;13477;9
760;15832;10
760;16436;10
760;16916;10
764;1107;1
764;1824;2
764;2216;3
764;4363;4
764;5540;5
764;12140;6
764;14060;7
764;14569;2
764;15024;8
764;15796;9
